Certifications,Job Postings,%,code
LEAN CERTIFICATION,2,0.0,15-1134
LEAN SIX SIGMA,2,0.0,15-1134
LICENSED PROFESSIONAL SURVEYOR,2,0.0,15-1134
LINE & ANTENNA SWEEPING (LAS),2,0.0,15-1134
MEDICAL BILLING AND CODING CERTIFICATION,2,0.0,15-1134
MICROSOFT OFFICE CERTIFICATION,2,0.0,15-1134
NURSE PRACTITIONER,2,0.0,15-1134
ORACLE CERTIFIED PROFESSIONAL JAVA PROGRAMMER,2,0.0,15-1134
ORACLE DATABASE CERTIFICATION,2,0.0,15-1134
PROFESSIONAL ACHIEVEMENT,2,0.0,15-1134
PROJECT+,2,0.0,15-1134
PUBLIC SAFETY CERTIFICATE,2,0.0,15-1134
REGISTERED CARDIOVASCULAR INVASIVE SPECIALIST,2,0.0,15-1134
REGISTERED CONGENITAL CARDIAC SONOGRAPHER,2,0.0,15-1134
SALESFORCE.COM ADMINISTRATOR,2,0.0,15-1134
SOCIAL WORK LICENSE,2,0.0,15-1134
TECHNICAL TRAINING CERTIFICATION,2,0.0,15-1134
ACCESS MANAGEMENT,1,0.0,15-1134
ADMINISTRATIVE OFFICE CERTIFICATE,1,0.0,15-1134
ADOBE PHOTOSHOP CERTIFICATE,1,0.0,15-1134
ADVANCED COMPUTER SKILLS,1,0.0,15-1134
ADVANCED REGISTERED NURSE PRACTITIONER,1,0.0,15-1134
AIRFRAME AND POWERPLANT (A AND P) CERTIFICATION,1,0.0,15-1134
AMERICAN POWER CONVERSION,1,0.0,15-1134
AMERICAN SPEECH - LANGUAGE HEARING ASSOCIATION,1,0.0,15-1134
AUTOMATION CERTIFICATION,1,0.0,15-1134
BASIC COMPUTER SKILLS,1,0.0,15-1134
BUILDING PERFORMANCE INSTITUTE (BPI),1,0.0,15-1134
BUSINESS APPLICATIONS CERTIFICATE,1,0.0,15-1134
BUSINESS LICENSE,1,0.0,15-1134
CA LICENSE,1,0.0,15-1134
CDL CLASS C,1,0.0,15-1134
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,1,0.0,15-1134
CERTIFIED ASSOCIATE BUSINESS ANALYST,1,0.0,15-1134
CERTIFIED ATHLETIC TRAINER,1,0.0,15-1134
CERTIFIED BUSINESS ANALYSIS PROFESSIONAL,1,0.0,15-1134
CERTIFIED CLINICAL RESEARCH COORDINATOR,1,0.0,15-1134
CERTIFIED COMPUTING PROFESSIONAL,1,0.0,15-1134
CERTIFIED DOCUMENT IMAGING ARCHITECT,1,0.0,15-1134
CERTIFIED ETHICAL HACKER,1,0.0,15-1134
CERTIFIED FIRST RESPONDER,1,0.0,15-1134
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,1,0.0,15-1134
CERTIFIED LINUX ADMINISTRATOR,1,0.0,15-1134
CERTIFIED PEER SPECIALIST,1,0.0,15-1134
CERTIFIED PLAYGROUND SAFETY INSPECTOR,1,0.0,15-1134
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,1,0.0,15-1134
CERTIFIED QUALITY TECHNICIAN,1,0.0,15-1134
CHECK POINT CERTIFIED MASTER ARCHITECT,1,0.0,15-1134
CHIROPRACTOR LICENSE,1,0.0,15-1134
CISCO CERTIFIED SECURITY PROFESSIONAL,1,0.0,15-1134
SECURITY CLEARANCE,30318,4.5,15-1132
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),4142,0.62,15-1132
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),3626,0.54,15-1132
SECURITY+,3439,0.51,15-1132
CISCO CERTIFIED NETWORK ASSOCIATE,2886,0.43,15-1132
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),2137,0.32,15-1132
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,2090,0.31,15-1132
SANS/GIAC CERTIFICATION,1732,0.26,15-1132
WELDING CERTIFICATION (E.G. AWS CERTIFIED WELDER),1656,0.25,15-1132
IT INFRASTRUCTURE LIBRARY,1573,0.23,15-1132
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),1472,0.22,15-1132
SALESFORCE.COM DEVELOPER,1456,0.22,15-1132
SCRUM,1335,0.2,15-1132
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),1332,0.2,15-1132
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),1279,0.19,15-1132
MICROSOFT CERTIFIED SYSTEMS ADMINISTRATOR (MCSA),1173,0.17,15-1132
MICROSOFT CERTIFIED PROFESSIONAL (MCP),1074,0.16,15-1132
TOGAF,1048,0.16,15-1132
CERTIFIED INFORMATION SECURITY MANAGER (CISM),990,0.15,15-1132
JAVA CERTIFICATION (E.G. SUN CERTIFIED JAVA ASSOC),872,0.13,15-1132
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),864,0.13,15-1132
NETWORK+ CERTIFIED,792,0.12,15-1132
PROFESSIONAL ENGINEER,789,0.12,15-1132
CERTIFIED NOVELL ADMINISTRATOR,778,0.12,15-1132
CERTIFIED SCRUM PROFESSIONAL,770,0.11,15-1132
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),574,0.09,15-1132
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),562,0.08,15-1132
SIX SIGMA CERTIFICATION,559,0.08,15-1132
EPIC CERTIFICATION,529,0.08,15-1132
CERTIFIED SENIOR SYSTEM ARCHITECT,513,0.08,15-1132
SYSTEMS SECURITY CERTIFIED PRACTITIONER,499,0.07,15-1132
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,467,0.07,15-1132
CERTIFIED A+ TECHNICIAN,438,0.07,15-1132
RED HAT CERTIFIED ENGINEER,430,0.06,15-1132
CERTIFIED ADMINISTRATOR,403,0.06,15-1132
CISCO CERTIFIED DESIGN PROFESSIONAL (CCDP),388,0.06,15-1132
VMWARE CERTIFIED PROFESSIONAL,375,0.06,15-1132
AGILE CERTIFICATION,360,0.05,15-1132
LINUX+,342,0.05,15-1132
ENGINEER IN TRAINING CERTIFICATION,309,0.05,15-1132
SIX SIGMA BLACK BELT,302,0.04,15-1132
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,293,0.04,15-1132
SIX SIGMA GREEN BELT,282,0.04,15-1132
CERTIFICATE IN SCHOOL ADMINISTRATION,281,0.04,15-1132
RED HAT CERTIFIED SYSTEM ADMINSTRATOR,234,0.03,15-1132
MBE CERTIFIED,205,0.03,15-1132
SALESFORCE.COM ADMINISTRATOR,192,0.03,15-1132
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),178,0.03,15-1132
AUTOMATION CERTIFICATION,173,0.03,15-1132
CISCO CERTIFIED SECURITY PROFESSIONAL,173,0.03,15-1132
CERTIFIED SYSTEM ADMINISTRATOR,172,0.03,15-1132
CERTIFIED ENERGY MANAGER,157,0.02,15-1132
INFORMATION TECHNOLOGY CERTIFICATION,156,0.02,15-1132
SAP CERTIFICATION,152,0.02,15-1132
CERTIFIED APPLICATION DEVELOPER,150,0.02,15-1132
CERTIFIED IN RISK AND INFORMATION SYSTEMS CONTROL,148,0.02,15-1132
CERTIFIED HIPAA PROFESSIONAL,147,0.02,15-1132
FINANCIAL RISK MANAGER,145,0.02,15-1132
FORKLIFT OPERATOR CERTIFICATION,145,0.02,15-1132
TEACHING CERTIFICATE,143,0.02,15-1132
VMWARE CERTIFIED,143,0.02,15-1132
INVESTMENT ADVISOR,142,0.02,15-1132
MICROSOFT CERTIFIED SYSTEMS ENGINEER (MCSE),139,0.02,15-1132
SERVER+,139,0.02,15-1132
CERTIFIED ETHICAL HACKER,136,0.02,15-1132
CERTIFIED CUSTOMER SERVICE SPECIALIST (CSS),129,0.02,15-1132
LEAN SIX SIGMA,129,0.02,15-1132
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),127,0.02,15-1132
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST),125,0.02,15-1132
CERTIFIED TEACHER,124,0.02,15-1132
CISCO CERTIFIED VOICE PROFESSIONAL (CCVP),119,0.02,15-1132
COMPUTER ENGINEERING CERTIFICATE,115,0.02,15-1132
ORACLE CERTIFIED PROFESSIONAL JAVA PROGRAMMER,115,0.02,15-1132
DATA CENTER DESIGN CONSULTANT,114,0.02,15-1132
JUNIPER NETWORKS CERTIFIED INTERNET PROFESSIONAL,112,0.02,15-1132
"ORACLE CERTIFIED MASTER, JAVA SE 6 DEVELOPER",109,0.02,15-1132
JUNIPER NETWORKS CERTIFIED INTERNET ASSOCIATE,107,0.02,15-1132
CERTIFIED SYSTEM ARCHITECT,106,0.02,15-1132
TEACHERS OF ENGLISH TO SPEAKERS OF OTHER LANGUAGES (TESOL),104,0.02,15-1132
JUNIPER NETWORKS CERTIFIED INTERNET SPECIALIST,100,0.01,15-1132
MICROSOFT CERTIFIED APPLICATION DEVELOPER,97,0.01,15-1132
NATIONAL CAREER READINESS CERTIFICATE,97,0.01,15-1132
DATABASE ADMINISTRATOR (DBA),94,0.01,15-1132
MICROSOFT CERTIFIED IT PROFESSIONAL (MCITP),90,0.01,15-1132
CERTIFIED PROFESSIONAL CODER,87,0.01,15-1132
CERTIFIED UROLOGY CODER,87,0.01,15-1132
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),86,0.01,15-1132
SECURITY CERTIFIED NETWORK PROFESSIONAL,84,0.01,15-1132
CERTIFIED LEAD SYSTEM ARCHITECT,79,0.01,15-1132
PROGRAMMING CERTIFICATION (E.G. JAVA PROGRAMMING CERT),79,0.01,15-1132
ADVANCED PROGRAMMING IN C++ CERTIFICATE,78,0.01,15-1132
REGISTERED COMMUNICATIONS DISTRIBUTION DESIGNER,78,0.01,15-1132
SALESFORCE.COM ARCHITECT,77,0.01,15-1132
TEACHING ENGLISH AS A FOREIGN LANGUAGE (TEFL),77,0.01,15-1132
JUNIPER NETWORKS CERTIFIED INTERNET EXPERT,76,0.01,15-1132
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,75,0.01,15-1132
CERTIFIED MEETING PROFESSIONAL,73,0.01,15-1132
REGISTERED HEALTH INFORMATION TECHNICIAN,73,0.01,15-1132
CERTIFIED SUPPLY CHAIN PROFESSIONAL,72,0.01,15-1132
CERTIFIED INFORMATION SYSTEM SECURITY PROFESSIONAL,71,0.01,15-1132
LEAN CERTIFICATION,71,0.01,15-1132
CERTIFIED IN THE GOVERNANCE OF ENTERPRISE IT,70,0.01,15-1132
CAREER DEVELOPMENT,67,0.01,15-1132
CASINO GAMING LICENSE,63,0.01,15-1132
CHECK POINT CERTIFIED SECURITY EXPERT,63,0.01,15-1132
ADVANCED BUSINESS APPLICATION PROGRAMMING,62,0.01,15-1132
TEACHING LICENSE,62,0.01,15-1132
COMMERCIAL DRIVER'S LICENSE,61,0.01,15-1132
SDB CERTIFIED,61,0.01,15-1132
FEDERAL AVIATION ADMINISTRATION (FAA) CERTIFICATION,59,0.01,15-1132
FIRST AID CPR AED,58,0.01,15-1132
QUALITY MANAGEMENT,58,0.01,15-1132
ACCESS MANAGEMENT,57,0.01,15-1132
CERTIFIED QUALITY AUDITOR,54,0.01,15-1132
CERTIFIED PHARMACY TECHNICIAN,53,0.01,15-1132
COMPUTER SCIENCE CERTIFICATION,53,0.01,15-1132
CHECK POINT CERTIFIED SECURITY ADMINISTRATOR,51,0.01,15-1132
RED HAT CERTIFIED ARCHITECT,51,0.01,15-1132
AMERICAN OCCUPATIONAL THERAPY ASSOCIATION (AOTA),49,0.01,15-1132
CERTIFIED CODING SPECIALIST,49,0.01,15-1132
SERIES 7,48,0.01,15-1132
CERTIFIED DOCUMENT IMAGING ARCHITECT,45,0.01,15-1132
CHARTERED PROPERTY CASUALTY UNDERWRITER,45,0.01,15-1132
MASTER PROJECT MANAGEMENT,45,0.01,15-1132
APPLE CERTIFIED MACINTOSH TECHNICIAN,44,0.01,15-1132
AMERICAN REGISTRY OF RADIOLOGIC TECHNOLOGISTS (ARRT),42,0.01,15-1132
CERTIFIED NETWORK ADMINISTRATOR,42,0.01,15-1132
CHARTERED FINANCIAL ANALYST (CFA),42,0.01,15-1132
CERTIFIED POST ANESTHESIA NURSE,41,0.01,15-1132
SEATING AND MOBILITY SPECIALIST,41,0.01,15-1132
WINDOWS CERTIFICATION (E.G. WINDOWS 7 CERT),41,0.01,15-1132
ADVANCED CARDIAC LIFE SUPPORT (ACLS) CERTIFICATION,40,0.01,15-1132
LICENSED VOCATIONAL NURSE (LVN),40,0.01,15-1132
BUSINESS ANALYSIS CERTIFICATE,38,0.01,15-1132
CARDIAC SURGERY,38,0.01,15-1132
CERTIFIED MEDICAL LABORATORY TECHNICIAN,37,0.01,15-1132
MEDICAL BILLING AND CODING CERTIFICATION,37,0.01,15-1132
CO-OP,36,0.01,15-1132
SERIES 6,36,0.01,15-1132
REGISTERED HEALTH INFORMATION ADMINISTRATOR,35,0.01,15-1132
SECURITY CERTIFIED NETWORK ARCHITECT,35,0.01,15-1132
CERTIFIED QUALITY ENGINEER,34,0.01,15-1132
SOFTWARE TESTING CERTIFICATION (E.G. CSTP),34,0.01,15-1132
POLYGRAPH,33,0.0,15-1132
QUALITY MANAGEMENT CERTIFICATION (E.G. CMQ),33,0.0,15-1132
CERTIFIED SOFTWARE QUALITY ENGINEER,32,0.0,15-1132
COMPUTER TECHNOLOGY,32,0.0,15-1132
CONTRACTORS LICENSE,32,0.0,15-1132
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,31,0.0,15-1132
CDL CLASS C,31,0.0,15-1132
ELECTRICIAN CERTIFICATION,31,0.0,15-1132
U.S. DEPARTMENT OF LABOR,31,0.0,15-1132
CERTIFIED BUSINESS INTELLIGENCE PROFESSIONAL,30,0.0,15-1132
CERTIFIED LABVIEW DEVELOPER,30,0.0,15-1132
CERTIFIED PUBLIC ACCOUNTANT (CPA),29,0.0,15-1132
HELP DESK CERTIFICATION (E.G. COMPTIA),29,0.0,15-1132
PRIVATE PILOT'S CERTIFICATE,29,0.0,15-1132
AMERICAN SOCIETY FOR QUALITY (ASQ) CERTIFICATION,28,0.0,15-1132
TECHNICAL TRAINING CERTIFICATION,28,0.0,15-1132
ARCHITECTURE LICENSE,27,0.0,15-1132
CDL CLASS A,27,0.0,15-1132
IT SERVICE MANAGEMENT,27,0.0,15-1132
SOCIAL WORK LICENSE,27,0.0,15-1132
CERTIFIED PROGRAMMER,26,0.0,15-1132
ADVANCED CERTIFICATE,25,0.0,15-1132
CERTIFIED SOFTWARE TEST PROFESSIONAL,25,0.0,15-1132
MICROSOFT CERTIFIED DESKTOP SUPPORT TECHNICIAN,25,0.0,15-1132
PILOT CERTIFICATION,25,0.0,15-1132
CERTIFIED CLINICAL DOCUMENT SPECIALIST,24,0.0,15-1132
CERTIFIED COMPUTING PROFESSIONAL,24,0.0,15-1132
INFORMATION SYSTEMS CERTIFICATION,24,0.0,15-1132
ORACLE SOA CERTIFICATION,24,0.0,15-1132
BASIC CARDIAC LIFE SUPPORT CERTIFICATION,23,0.0,15-1132
CERTIFIED FINANCIAL PLANNER,23,0.0,15-1132
CERTIFIED INFORMATION TECHNOLOGY PROFESSIONAL,23,0.0,15-1132
CHARTERED ADVISOR FOR SENIOR LIVING,23,0.0,15-1132
CIVIL SERVICE CERTIFICATION,23,0.0,15-1132
CERTIFIED CARDIOGRAPHIC TECHNICIAN,22,0.0,15-1132
CERTIFIED INFORMATION PRIVACY PROFESSIONAL (CIPP),22,0.0,15-1132
CERTIFIED QUALITY ANALYST,22,0.0,15-1132
NATIONAL COUNCIL OF ARCHITECTURAL REGISTRATION BOARDS (NCARB),22,0.0,15-1132
REGISTERED CARDIAC SONOGRAPHER,22,0.0,15-1132
BICSI RCDD,21,0.0,15-1132
CERTIFIED PROFESSIONAL MEDICAL AUDITOR,21,0.0,15-1132
ISEB CERTIFIED,21,0.0,15-1132
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION CERTIFICATION,21,0.0,15-1132
ORACLE PL/SQL DEVELOPER CERTIFIED ASSOCIATE,21,0.0,15-1132
SERIES 3,21,0.0,15-1132
APPLE CERTIFIED TECHNICAL COORDINATOR,20,0.0,15-1132
AUTOMOTIVE SERVICE EXCELLENCE (ASE) CERTIFICATION,20,0.0,15-1132
CERTIFIED FRAUD EXAMINER,20,0.0,15-1132
CITRIX CERTIFIED ADVANCED ADMINISTRATOR (CCAA),20,0.0,15-1132
HAZWOPER,20,0.0,15-1132
NORTH AMERICAN BOARD OF ENERGY PRACTITIONERS (NABCEP),20,0.0,15-1132
ADMINISTRATIVE SERVICES CREDENTIAL,19,0.0,15-1132
AUDIOVISUAL (AV) CERTIFICATION,19,0.0,15-1132
BUSINESS APPLICATIONS CERTIFICATE,19,0.0,15-1132
COMPUTER APPLICATIONS,19,0.0,15-1132
CROSS-CULTURAL LANGUAGE AND ACADEMIC DEVELOPMENT,19,0.0,15-1132
MICROSOFT CERTIFIED APPLICATION SPECIALIST (MCAS),19,0.0,15-1132
REAL ESTATE CERTIFICATION,5124,4.05,13-1161
SECURITY CLEARANCE,674,0.53,13-1161
CERTIFIED PUBLIC ACCOUNTANT (CPA),462,0.36,13-1161
PROJECT MANAGEMENT CERTIFICATION (E.G. PMP),405,0.32,13-1161
SERIES 7,252,0.2,13-1161
ADVERTISING CERTIFICATION,151,0.12,13-1161
SERIES 6,105,0.08,13-1161
LEADERSHIP IN ENERGY AND ENVIRONMENTAL DESIGN (LEED),90,0.07,13-1161
CHARTERED PROPERTY CASUALTY UNDERWRITER,88,0.07,13-1161
CASINO GAMING LICENSE,84,0.07,13-1161
CLIA CERTIFIED,78,0.06,13-1161
LIFE INSURANCE LICENSE,78,0.06,13-1161
INSURANCE LICENSE,77,0.06,13-1161
INVESTMENT ADVISOR,68,0.05,13-1161
PROPERTY AND CASUALTY LICENSE,63,0.05,13-1161
CERTIFIED PROFESSIONAL IN SUPPLY MANAGEMENT,59,0.05,13-1161
FIRST AID CPR AED,58,0.05,13-1161
SIX SIGMA CERTIFICATION,56,0.04,13-1161
HVAC TECHNICIAN CERTIFICATION (E.G. EPA 608),55,0.04,13-1161
CERTIFIED HIPAA PROFESSIONAL,52,0.04,13-1161
AMERICAN INSTITUTE OF CERTIFIED PLANNERS,50,0.04,13-1161
INSTITUTIONAL REVIEW BOARD (IRB),48,0.04,13-1161
CERTIFIED INFORMATION SYSTEMS SECURITY PROFESSIONAL (CISSP),47,0.04,13-1161
CHARTERED LIFE UNDERWRITER (CLU),46,0.04,13-1161
SANS/GIAC CERTIFICATION,46,0.04,13-1161
CHARTERED ADVISOR FOR SENIOR LIVING,45,0.04,13-1161
CISCO CERTIFIED INTERNETWORK EXPERT (CCIE),44,0.03,13-1161
COMMERCIAL DRIVER'S LICENSE,43,0.03,13-1161
CISCO CERTIFIED NETWORK ASSOCIATE,39,0.03,13-1161
CHARTERED FINANCIAL CONSULTANT,37,0.03,13-1161
CHARTERED FINANCIAL ANALYST (CFA),31,0.02,13-1161
SERIES 63,31,0.02,13-1161
TRAINING FOR INTERVENTION PROCEDURES (TIPS) CERTIFICATION,30,0.02,13-1161
CERTIFIED FINANCIAL PLANNER,27,0.02,13-1161
HOME CARE CERTIFICATE,27,0.02,13-1161
IT INFRASTRUCTURE LIBRARY,27,0.02,13-1161
APICS (AMERICAN PRODUCTION AND INVENTORY CONTROL SOCIETY) CERTIFICATION,25,0.02,13-1161
CERTIFIED PROFESSIONAL SERVICES MARKETER,23,0.02,13-1161
SERIES 24,23,0.02,13-1161
CERTIFIED AMBULATORY PERIANESTHESIA NURSE,22,0.02,13-1161
CERTIFIED ENERGY MANAGER,22,0.02,13-1161
CISCO CERTIFIED NETWORK PROFESSIONAL (CCNP),22,0.02,13-1161
SIX SIGMA GREEN BELT,22,0.02,13-1161
CERTIFIED MEETING PROFESSIONAL,21,0.02,13-1161
FORKLIFT OPERATOR CERTIFICATION,21,0.02,13-1161
FINANCIAL RISK MANAGER,20,0.02,13-1161
INFORMATION TECHNOLOGY CERTIFICATION,20,0.02,13-1161
PARALEGAL CERTIFICATION,19,0.01,13-1161
CHARTERED ALTERNATIVE INVESTMENT ANALYST,18,0.01,13-1161
CERTIFIED SUPPLY CHAIN PROFESSIONAL,17,0.01,13-1161
CDL CLASS A,16,0.01,13-1161
CERTIFIED IN PRODUCTION AND INVENTORY MANAGEMENT,16,0.01,13-1161
LEAN SIX SIGMA,16,0.01,13-1161
MICROSOFT CERTIFIED PROFESSIONAL (MCP),16,0.01,13-1161
SALESFORCE.COM ADMINISTRATOR,16,0.01,13-1161
CERTIFIED INSURANCE COUNSELOR,15,0.01,13-1161
MASTER PROJECT MANAGEMENT,15,0.01,13-1161
NATIONAL CAREER READINESS CERTIFICATE,15,0.01,13-1161
CERTIFIED INFORMATION SECURITY MANAGER (CISM),14,0.01,13-1161
LICENSED VOCATIONAL NURSE (LVN),14,0.01,13-1161
MICROSOFT OFFICE CERTIFICATION,14,0.01,13-1161
VARIABLE ANNUITY LICENSE,14,0.01,13-1161
CONTRACTORS LICENSE,13,0.01,13-1161
LICENSED MORTGAGE LOAN ORIGINATOR,13,0.01,13-1161
NETWORK+ CERTIFIED,13,0.01,13-1161
SCRUM,13,0.01,13-1161
SIX SIGMA BLACK BELT,13,0.01,13-1161
CERTIFIED CARGO SECURITY PROFESSIONAL,12,0.01,13-1161
CERTIFIED CUSTOMER SERVICE SPECIALIST (CSS),12,0.01,13-1161
CERTIFIED MEETING PLANNER,12,0.01,13-1161
ESTHIOLOGY LICENSE,12,0.01,13-1161
LEAN CERTIFICATION,12,0.01,13-1161
LIFE AND HEALTH INSURANCE LICENSE,12,0.01,13-1161
PEST CONTROL APPLICATOR,12,0.01,13-1161
PROFESSIONAL ENGINEER,12,0.01,13-1161
REGISTERED DIETITIAN,12,0.01,13-1161
SECURITIES LICENSE,12,0.01,13-1161
SERIES 65,12,0.01,13-1161
CERTIFIED MECHANICAL INSPECTOR,11,0.01,13-1161
DATA CENTER DESIGN CONSULTANT,11,0.01,13-1161
IPMA CERTIFIED PROJECT MANAGEMENT ASSOCIATE,11,0.01,13-1161
AMERICAN SOCIETY FOR QUALITY (ASQ) CERTIFICATION,10,0.01,13-1161
AUTOMATION CERTIFICATION,10,0.01,13-1161
CERTIFIED TREASURY PROFESSIONAL,10,0.01,13-1161
SERIES 3,10,0.01,13-1161
SERVSAFE,10,0.01,13-1161
ACCIDENT HEALTH AND LIFE (INSURANCE),9,0.01,13-1161
COMMISSION LICENSE,9,0.01,13-1161
INSURANCE AGENT CERTIFICATION,9,0.01,13-1161
SALES AND MARKETING,9,0.01,13-1161
ADVANCED CERTIFICATE,8,0.01,13-1161
CAREER DEVELOPMENT,8,0.01,13-1161
CERTIFIED ADMINISTRATOR,8,0.01,13-1161
CERTIFIED MEDICAL ASSISTANT,8,0.01,13-1161
CERTIFIED MEDICAL LABORATORY TECHNICIAN,8,0.01,13-1161
CERTIFIED REGULATORY COMPLIANCE MANAGER,8,0.01,13-1161
MICROSOFT CERTIFIED SOLUTIONS EXPERT (MCSE),8,0.01,13-1161
ORACLE CERTIFICATION (E.G. ORACLE CERTIFIED ASSOCIATE),8,0.01,13-1161
PRIVATE INVESTIGATION,8,0.01,13-1161
PROJECT+,8,0.01,13-1161
QUALITY MANAGEMENT,8,0.01,13-1161
AMERICAN BOARD FOR ENGINEERING AND TECHNOLOGY (ABET) ACCREDITED,7,0.01,13-1161
CAPABILITY MODEL MATURITY INTEGRATION (CMMI) CERTIFICATION,7,0.01,13-1161
CERTIFIED COMMERCIAL INVESTMENT MEMBER (CCIM),7,0.01,13-1161
COMMUNITY SERVICE,7,0.01,13-1161
EVENT PLANNING,7,0.01,13-1161
FACILITY MANAGEMENT PROFESSIONAL,7,0.01,13-1161
PROFESSIONAL IN HUMAN RESOURCES,7,0.01,13-1161
PROGRAMMING CERTIFICATION (E.G. JAVA PROGRAMMING CERT),7,0.01,13-1161
SECURITY+,7,0.01,13-1161
SOCIAL WORK LICENSE,7,0.01,13-1161
AIRS CERTIFICATION,6,0.0,13-1161
CDL CLASS C,6,0.0,13-1161
CERTIFIED A+ TECHNICIAN,6,0.0,13-1161
CERTIFIED INFORMATION SYSTEMS AUDITOR (CISA),6,0.0,13-1161
CERTIFIED USABILITY ANALYST,6,0.0,13-1161
EMERGENCY MEDICAL TECHNICIAN (EMT),6,0.0,13-1161
GRAPHIC DESIGN CERTIFICATION,6,0.0,13-1161
LEADERSHIP AND MANAGEMENT,6,0.0,13-1161
MORTGAGE LOAN OFFICER,6,0.0,13-1161
TECHNICAL WRITING CERTIFICATION,6,0.0,13-1161
ADOBE CERTIFIED EXPERT (ACE),5,0.0,13-1161
AGILE CERTIFICATION,5,0.0,13-1161
BASIC EDUCATION CERTIFICATE,5,0.0,13-1161
CERTIFIED ADMINISTRATIVE PROFESSIONAL,5,0.0,13-1161
CERTIFIED CLINICAL DOCUMENT SPECIALIST,5,0.0,13-1161
CERTIFIED PHARMACY TECHNICIAN,5,0.0,13-1161
CERTIFIED TEACHER,5,0.0,13-1161
COMPUTER APPLICATIONS,5,0.0,13-1161
FINANCIAL ACCOUNTING STANDARDS BOARD (FASB),5,0.0,13-1161
PHARMACIST,5,0.0,13-1161
SERIES 66,5,0.0,13-1161
ADVANCED REGISTERED NURSE PRACTITIONER,4,0.0,13-1161
AIRFRAME AND POWERPLANT (A AND P) CERTIFICATION,4,0.0,13-1161
BLUEPRINT CERTIFIED,4,0.0,13-1161
BOARD CERTIFIED/BOARD ELIGIBLE,4,0.0,13-1161
CERTIFIED COMPUTER EXAMINER,4,0.0,13-1161
CERTIFIED EMPLOYEE BENEFIT SPECIALIST (CEBS),4,0.0,13-1161
CERTIFIED HAZARDOUS MATERIALS MANAGER,4,0.0,13-1161
CERTIFIED MANAGEMENT ACCOUNTANT (CMA),4,0.0,13-1161
CERTIFIED PROFESSIONAL SECRETARY,4,0.0,13-1161
CIVIL SERVICE CERTIFICATION,4,0.0,13-1161
ELECTRICIAN CERTIFICATION,4,0.0,13-1161
GOOD CONDUCT,4,0.0,13-1161
GRAPHIC ARTS,4,0.0,13-1161
HEALTH AND LIFE INSURANCE LICENSE,4,0.0,13-1161
HOME HEALTH AIDE,4,0.0,13-1161
LABORATORY ANIMAL TECHNICIAN,4,0.0,13-1161
LINE & ANTENNA SWEEPING (LAS),4,0.0,13-1161
MANAGEMENT AND SUPERVISION,4,0.0,13-1161
MBE CERTIFIED,4,0.0,13-1161
MEDICAL BILLING AND CODING CERTIFICATION,4,0.0,13-1161
MICROSOFT CERTIFIED SOLUTION DEVELOPER (MCSD),4,0.0,13-1161
MICROSOFT CERTIFIED TECHNOLOGY SPECIALIST (MCTS),4,0.0,13-1161
MORTGAGE LICENSE,4,0.0,13-1161
NURSE PRACTITIONER,4,0.0,13-1161
PHLEBOTOMY CERTIFICATION,4,0.0,13-1161
PURCHASING CERTIFICATION,4,0.0,13-1161
REGISTERED DIAGNOSTIC CARDIAC SONOGRAPHER,4,0.0,13-1161
SENIOR PROFESSIONAL IN HUMAN RESOURCES,4,0.0,13-1161
TEACHING CERTIFICATE,4,0.0,13-1161
ADMINISTRATOR CERT,3,0.0,13-1161
ADOBE PHOTOSHOP CERTIFICATE,3,0.0,13-1161
AMERICAN HEART ASSOCIATION CERTIFICATE,3,0.0,13-1161
BUSINESS LICENSE,3,0.0,13-1161
CERTIFIED ASSOCIATE BUSINESS ANALYST,3,0.0,13-1161
CERTIFIED DEALER,3,0.0,13-1161
CERTIFIED FLOODPLAIN MANAGER,3,0.0,13-1161
CERTIFIED HEALTHCARE ACCESS ASSOCIATE,3,0.0,13-1161
CERTIFIED IN LEAN MANUFACTURING,3,0.0,13-1161
